,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Churn
80,53.0,13655.59,1.0,2.05,10.0,1.0
81,41.0,12680.46,0.0,5.92,11.0,1.0
82,45.0,8429.65,1.0,7.1,10.0,1.0
83,44.0,11424.0,1.0,5.98,10.0,1.0
84,46.0,13725.55,0.0,5.09,9.0,1.0
85,47.0,7396.1,0.0,4.11,11.0,1.0
86,51.0,8100.43,1.0,4.92,13.0,1.0
87,43.0,10400.88,0.0,5.84,10.0,1.0
88,40.0,8625.96,1.0,6.27,13.0,1.0
89,41.0,5192.38,1.0,4.86,11.0,1.0
90,45.0,12455.38,0.0,3.26,11.0,1.0
91,49.0,10522.21,0.0,7.25,14.0,1.0
92,38.0,9624.18,0.0,5.53,12.0,1.0
93,37.0,11628.1,1.0,6.83,10.0,1.0
94,41.0,13190.3,1.0,7.38,10.0,1.0
95,49.0,13173.8,1.0,6.36,12.0,1.0
96,29.0,8688.17,1.0,5.7,9.0,1.0
97,40.0,11434.61,1.0,8.51,10.0,1.0
98,45.0,12309.39,1.0,4.57,11.0,1.0
99,30.0,10744.14,1.0,7.16,9.0,1.0
100,43.0,12104.25,0.0,5.86,7.0,1.0
101,45.0,11599.27,1.0,4.78,11.0,1.0
102,42.0,6635.19,0.0,6.68,11.0,1.0
103,51.0,10978.16,1.0,6.95,11.0,1.0
104,44.0,13743.27,0.0,7.8,11.0,1.0
105,43.0,10271.19,1.0,5.31,14.0,1.0
106,43.0,6715.23,0.0,4.16,8.0,1.0
107,50.0,10199.44,0.0,5.79,9.0,1.0
108,38.0,11386.56,0.0,8.82,9.0,1.0
109,49.0,12112.53,0.0,7.31,9.0,1.0
110,34.0,9228.84,1.0,5.29,12.0,1.0
111,36.0,6330.43,1.0,5.43,7.0,1.0
112,40.0,11611.51,1.0,5.64,14.0,1.0
113,37.0,8397.41,0.0,5.59,12.0,1.0
114,49.0,9714.47,0.0,5.7,9.0,1.0
115,51.0,11602.11,1.0,5.3,10.0,1.0
116,35.0,12871.79,0.0,4.64,12.0,1.0
117,41.0,9923.79,1.0,4.75,13.0,1.0
118,26.0,8787.39,1.0,5.42,11.0,1.0
119,46.0,12200.31,0.0,6.62,10.0,1.0
120,38.0,8825.87,1.0,8.97,10.0,1.0
121,44.0,8615.52,0.0,7.39,9.0,1.0
122,35.0,9766.95,1.0,4.59,13.0,1.0
123,36.0,11550.29,0.0,6.46,13.0,1.0
124,50.0,6244.75,0.0,4.64,11.0,1.0
125,45.0,9459.52,0.0,5.72,9.0,1.0
126,46.0,11222.48,0.0,4.92,9.0,1.0
127,38.0,14693.45,1.0,7.01,10.0,1.0
128,49.0,15005.43,1.0,5.27,12.0,1.0
129,42.0,10276.33,1.0,6.54,11.0,1.0
130,44.0,8474.11,0.0,6.61,14.0,1.0
131,47.0,8235.74,1.0,6.2,10.0,1.0
132,48.0,6495.01,1.0,5.57,12.0,1.0
133,45.0,8099.29,1.0,5.66,10.0,1.0
134,50.0,11775.75,1.0,4.83,10.0,1.0
135,39.0,8667.02,0.0,6.82,10.0,1.0
136,55.0,9000.31,1.0,6.78,10.0,1.0
137,50.0,14398.89,1.0,5.54,12.0,1.0
138,38.0,10863.05,1.0,5.59,11.0,1.0
139,38.0,7287.57,1.0,7.39,11.0,1.0
140,43.0,6992.09,1.0,6.84,11.0,1.0
141,39.0,6351.79,0.0,5.86,6.0,1.0
142,31.0,11297.57,1.0,6.23,10.0,1.0
143,52.0,7460.05,0.0,5.39,12.0,1.0
144,41.0,14429.41,1.0,5.51,11.0,1.0
145,34.0,12983.26,1.0,6.53,13.0,1.0
146,39.0,8801.86,1.0,4.43,10.0,1.0
147,58.0,9703.93,0.0,5.16,11.0,1.0
148,49.0,11177.08,0.0,4.44,12.0,1.0
149,41.0,8560.76,1.0,3.99,12.0,1.0
150,35.0,15571.26,0.0,6.45,9.0,0.0
151,39.0,10268.87,1.0,3.68,6.0,0.0
152,44.0,12328.03,1.0,4.6,9.0,0.0
153,52.0,9782.83,0.0,3.96,7.0,0.0
154,29.0,9378.24,0.0,4.93,8.0,0.0
155,37.0,10314.67,1.0,5.86,8.0,0.0
156,30.0,8403.78,1.0,4.13,7.0,0.0
157,46.0,5570.45,0.0,2.23,7.0,0.0
158,43.0,8042.76,0.0,4.95,8.0,0.0
159,44.0,10309.15,1.0,6.35,9.0,0.0
160,35.0,12357.31,0.0,5.03,10.0,0.0
161,47.0,11306.1,0.0,6.01,7.0,0.0
162,32.0,13630.93,0.0,4.38,10.0,0.0
163,36.0,12284.58,1.0,5.7,9.0,0.0
164,39.0,8930.49,1.0,5.71,10.0,0.0
165,43.0,10578.14,0.0,1.87,10.0,0.0
166,45.0,10364.82,0.0,5.93,5.0,0.0
167,33.0,7750.54,1.0,4.57,8.0,0.0
168,48.0,10963.5,1.0,5.89,9.0,0.0
169,32.0,12547.91,0.0,7.78,10.0,0.0
170,41.0,14069.41,1.0,1.62,10.0,0.0
171,44.0,9723.71,0.0,4.34,9.0,0.0
172,43.0,6298.75,1.0,4.51,9.0,0.0
173,35.0,12107.03,0.0,5.82,9.0,0.0
174,43.0,11674.12,0.0,2.88,8.0,0.0
175,56.0,12502.81,0.0,5.47,8.0,0.0
176,29.0,9617.59,0.0,5.49,8.0,0.0
177,36.0,13472.79,1.0,4.77,8.0,0.0
178,49.0,9805.7,0.0,4.86,9.0,0.0
179,31.0,11743.24,0.0,5.3,6.0,0.0
180,30.0,12788.37,0.0,4.31,10.0,0.0
181,40.0,5218.49,0.0,3.8,10.0,0.0
182,44.0,10526.18,0.0,7.67,9.0,0.0
183,43.0,8583.5,1.0,4.39,10.0,0.0
184,39.0,11008.0,0.0,4.42,8.0,0.0
185,42.0,9625.89,1.0,5.84,9.0,0.0
186,46.0,11119.11,1.0,3.51,14.0,0.0
187,46.0,9982.55,1.0,4.75,7.0,0.0
188,39.0,11159.46,0.0,3.95,11.0,0.0
189,36.0,12668.26,0.0,4.54,12.0,0.0
190,38.0,9087.9,0.0,2.7,10.0,0.0
191,41.0,9091.21,0.0,4.55,11.0,0.0
192,44.0,8755.02,1.0,5.71,8.0,0.0
193,37.0,6362.93,1.0,6.8,7.0,0.0
194,48.0,13189.35,0.0,3.25,7.0,0.0
195,47.0,10584.71,0.0,6.05,8.0,0.0
196,49.0,9853.64,1.0,6.95,6.0,0.0
197,36.0,10448.09,0.0,4.13,8.0,0.0
198,42.0,11473.38,1.0,2.87,10.0,0.0
199,39.0,8986.28,0.0,4.36,8.0,0.0
200,33.0,13314.19,0.0,5.45,9.0,0.0
201,41.0,9918.77,0.0,4.02,10.0,0.0
202,45.0,12783.21,1.0,4.47,10.0,0.0
203,46.0,7026.18,0.0,6.3,8.0,0.0
204,48.0,9706.88,0.0,6.45,8.0,0.0
205,42.0,10236.95,1.0,5.71,8.0,0.0
206,33.0,13157.08,1.0,5.04,10.0,0.0
207,44.0,8588.46,1.0,7.77,8.0,0.0
208,48.0,7778.73,1.0,4.18,8.0,0.0
209,42.0,10268.0,0.0,5.33,6.0,0.0
210,34.0,9845.35,0.0,4.82,7.0,0.0
211,37.0,11912.13,0.0,5.67,10.0,0.0
212,33.0,12115.91,1.0,5.5,9.0,0.0
213,35.0,10801.37,1.0,5.64,11.0,0.0
214,53.0,13173.82,0.0,5.26,7.0,0.0
215,49.0,9940.76,0.0,5.72,11.0,0.0
216,46.0,12261.79,1.0,3.72,10.0,0.0
217,47.0,12987.28,0.0,5.86,10.0,0.0
218,51.0,4523.91,0.0,3.98,8.0,0.0
219,41.0,6172.23,0.0,4.28,8.0,0.0
220,49.0,6283.67,0.0,6.35,11.0,0.0
221,48.0,7232.06,1.0,4.9,6.0,0.0
222,35.0,6683.82,1.0,7.82,7.0,0.0
223,39.0,9408.96,1.0,3.83,4.0,0.0
224,47.0,8291.93,0.0,4.47,7.0,0.0
225,41.0,10017.82,0.0,6.0,8.0,0.0
226,38.0,7320.49,0.0,1.58,10.0,0.0
227,43.0,8817.29,0.0,3.19,8.0,0.0
228,36.0,8948.86,0.0,7.37,10.0,0.0
229,45.0,3689.95,1.0,5.01,11.0,0.0
230,52.0,8185.22,1.0,5.76,8.0,0.0
231,43.0,9347.89,1.0,4.17,8.0,0.0
232,42.0,12888.85,1.0,4.79,8.0,0.0
233,41.0,5387.41,1.0,4.17,8.0,0.0
234,38.0,7605.49,0.0,6.99,10.0,0.0
235,45.0,8480.93,0.0,4.57,9.0,0.0
236,29.0,11274.46,1.0,4.43,8.0,0.0
237,43.0,13116.73,0.0,3.57,9.0,0.0
238,32.0,7896.65,0.0,7.12,8.0,0.0
239,36.0,12086.92,1.0,5.52,6.0,0.0
240,42.0,10500.77,0.0,5.68,6.0,0.0
241,38.0,7673.0,1.0,7.42,7.0,0.0
242,42.0,14242.7,0.0,5.79,10.0,0.0
243,40.0,6590.63,1.0,4.52,7.0,0.0
244,37.0,15070.32,0.0,6.91,6.0,0.0
245,37.0,13717.41,1.0,6.5,7.0,0.0
246,41.0,9219.95,1.0,5.21,10.0,0.0
247,65.0,10430.5,0.0,6.5,6.0,0.0
248,45.0,5200.06,1.0,6.33,8.0,0.0
249,43.0,11197.42,1.0,3.48,9.0,0.0
250,45.0,13650.64,0.0,4.96,8.0,0.0
251,42.0,7351.72,0.0,5.26,9.0,0.0
252,33.0,10306.21,1.0,6.36,9.0,0.0
253,37.0,10147.22,0.0,6.63,8.0,0.0
254,48.0,10528.71,0.0,5.0,9.0,0.0
255,41.0,10054.6,1.0,4.93,6.0,0.0
256,45.0,8595.24,0.0,6.4,10.0,0.0
257,45.0,6681.61,1.0,5.6,8.0,0.0
258,29.0,10203.18,1.0,5.82,8.0,0.0
259,42.0,10427.12,0.0,6.64,10.0,0.0
260,39.0,10388.38,0.0,5.1,7.0,0.0
261,39.0,9353.38,0.0,4.06,7.0,0.0
262,42.0,11756.06,0.0,4.88,8.0,0.0
263,40.0,12295.95,1.0,5.69,11.0,0.0
264,40.0,7819.46,1.0,4.77,9.0,0.0
265,34.0,10674.92,1.0,3.09,9.0,0.0
266,37.0,10989.43,0.0,6.62,10.0,0.0
267,46.0,7504.79,0.0,5.98,8.0,0.0
268,46.0,9306.05,0.0,5.35,7.0,0.0
269,37.0,11523.63,1.0,3.56,7.0,0.0
270,44.0,9613.84,1.0,4.38,8.0,0.0
271,48.0,13298.38,0.0,2.99,8.0,0.0
272,37.0,8614.75,0.0,5.03,9.0,0.0
273,45.0,9951.97,1.0,4.4,6.0,0.0
274,46.0,11343.33,1.0,3.69,8.0,0.0
275,38.0,10026.44,1.0,6.85,9.0,0.0
276,38.0,8473.65,1.0,4.78,7.0,0.0
277,42.0,12989.06,0.0,5.0,10.0,0.0
278,38.0,12893.47,1.0,5.69,5.0,0.0
279,34.0,7324.32,0.0,6.69,10.0,0.0
280,40.0,8530.23,1.0,3.66,10.0,0.0
281,46.0,10675.86,0.0,3.33,7.0,0.0
282,43.0,10300.24,0.0,6.44,8.0,0.0
283,41.0,10921.54,0.0,5.07,3.0,0.0
284,42.0,10527.52,1.0,8.42,8.0,0.0
285,44.0,8338.05,0.0,6.57,11.0,0.0
286,36.0,9593.71,0.0,3.98,6.0,0.0
287,46.0,11537.69,1.0,6.37,7.0,0.0
288,35.0,12936.64,1.0,3.73,6.0,0.0
289,40.0,8815.24,0.0,5.63,9.0,0.0
290,42.0,12300.94,1.0,6.89,10.0,0.0
291,35.0,11830.36,1.0,4.41,6.0,0.0
292,36.0,14715.53,1.0,5.73,9.0,0.0
293,44.0,9214.98,1.0,6.44,7.0,0.0
294,49.0,8092.13,0.0,6.32,5.0,0.0
295,41.0,12008.34,1.0,4.94,7.0,0.0
296,38.0,11803.58,1.0,6.97,6.0,0.0
297,37.0,13498.28,1.0,7.06,9.0,0.0
298,46.0,9601.95,0.0,5.9,9.0,0.0
299,54.0,13184.51,0.0,6.04,8.0,0.0
300,36.0,4690.57,1.0,5.41,8.0,0.0
301,37.0,11416.56,0.0,6.06,6.0,0.0
302,56.0,9940.54,1.0,6.57,7.0,0.0
303,35.0,13680.25,1.0,5.79,9.0,0.0
304,29.0,5900.78,1.0,5.56,8.0,0.0
305,36.0,10339.05,1.0,6.88,7.0,0.0
306,46.0,11538.57,1.0,7.93,10.0,0.0
307,43.0,7178.92,1.0,5.32,8.0,0.0
308,51.0,8840.51,0.0,2.7,7.0,0.0
309,47.0,14154.26,0.0,4.73,9.0,0.0
310,42.0,10583.76,0.0,6.51,9.0,0.0
311,46.0,11401.63,0.0,6.13,5.0,0.0
312,41.0,7495.6,1.0,6.57,8.0,0.0
313,36.0,8878.96,1.0,4.66,9.0,0.0
314,37.0,11111.59,1.0,6.0,7.0,0.0
315,42.0,8519.64,0.0,3.99,8.0,0.0
316,44.0,12361.42,1.0,3.7,10.0,0.0
317,41.0,9014.9,1.0,4.45,7.0,0.0
318,42.0,6081.5,0.0,3.73,8.0,0.0
319,43.0,10944.65,1.0,2.62,9.0,0.0
320,40.0,11764.35,1.0,5.54,9.0,0.0
321,44.0,12155.91,1.0,4.11,5.0,0.0
322,41.0,11971.75,1.0,5.38,7.0,0.0
323,41.0,14080.95,1.0,4.61,7.0,0.0
324,41.0,6204.86,1.0,6.08,8.0,0.0
325,39.0,4994.48,0.0,5.02,8.0,0.0
326,36.0,11047.43,0.0,5.98,8.0,0.0
327,40.0,12925.64,0.0,4.04,7.0,0.0
328,36.0,8233.25,1.0,4.35,7.0,0.0
329,39.0,9282.33,0.0,4.52,11.0,0.0
330,46.0,13383.25,1.0,5.27,9.0,0.0
331,40.0,8911.91,0.0,6.99,10.0,0.0
332,41.0,8783.13,1.0,6.2,7.0,0.0
333,35.0,12654.35,0.0,1.66,7.0,0.0
334,40.0,6773.23,1.0,4.29,11.0,0.0
335,31.0,9574.89,0.0,7.34,8.0,0.0
336,45.0,9722.92,1.0,3.35,8.0,0.0
337,41.0,9516.87,0.0,4.94,7.0,0.0
338,38.0,6638.87,1.0,5.61,8.0,0.0
339,30.0,10960.52,1.0,5.96,9.0,0.0
340,52.0,11093.87,0.0,4.38,5.0,0.0
341,51.0,10323.07,1.0,7.03,9.0,0.0
342,43.0,15858.91,1.0,4.51,8.0,0.0
343,40.0,11309.18,0.0,4.91,7.0,0.0
344,32.0,12142.99,0.0,5.01,7.0,0.0
345,44.0,10965.95,1.0,4.11,8.0,0.0
346,51.0,10877.81,1.0,8.35,8.0,0.0
347,38.0,7491.55,0.0,5.66,12.0,0.0
348,47.0,9324.49,1.0,4.91,6.0,0.0
349,45.0,9034.21,0.0,6.89,9.0,0.0
350,54.0,11856.28,0.0,6.19,8.0,0.0
351,41.0,9191.02,1.0,5.89,9.0,0.0
352,41.0,10617.16,0.0,6.26,8.0,0.0
353,49.0,11321.2,0.0,4.89,10.0,0.0
354,41.0,15516.52,0.0,3.53,10.0,0.0
355,52.0,5647.92,0.0,5.08,8.0,0.0
356,30.0,8677.28,1.0,7.31,7.0,0.0
357,43.0,15423.03,1.0,2.41,7.0,0.0
358,38.0,8097.01,0.0,4.32,7.0,0.0
359,47.0,9148.74,1.0,6.38,8.0,0.0
360,45.0,12374.97,0.0,4.66,7.0,0.0
361,36.0,8646.72,0.0,6.33,8.0,0.0
362,53.0,10338.09,1.0,5.07,7.0,0.0
363,38.0,13019.89,1.0,6.65,8.0,0.0
364,41.0,13743.42,0.0,3.92,9.0,0.0
365,39.0,8646.2,0.0,2.94,9.0,0.0
366,42.0,6523.74,0.0,2.71,8.0,0.0
367,56.0,8626.48,1.0,5.07,7.0,0.0
368,41.0,5191.08,0.0,6.29,7.0,0.0
369,38.0,7097.52,1.0,4.68,6.0,0.0
370,41.0,13277.82,0.0,4.84,9.0,0.0
371,53.0,3263.0,1.0,2.77,9.0,0.0
372,52.0,14669.61,0.0,6.28,9.0,0.0
373,47.0,13359.2,1.0,4.55,8.0,0.0
374,43.0,12078.39,1.0,6.06,6.0,0.0
375,48.0,8513.75,1.0,8.24,10.0,0.0
376,38.0,9557.2,0.0,4.47,8.0,0.0
377,44.0,6517.22,0.0,4.55,12.0,0.0
378,40.0,4762.81,1.0,5.12,10.0,0.0
379,45.0,6452.83,1.0,4.41,6.0,0.0
380,31.0,8688.21,0.0,3.58,7.0,0.0
381,32.0,12254.75,1.0,5.32,9.0,0.0
382,39.0,5914.3,1.0,2.3,9.0,0.0
383,45.0,11486.53,1.0,5.5,7.0,0.0
384,51.0,6114.85,1.0,4.7,9.0,0.0
385,52.0,11828.78,0.0,5.95,10.0,0.0
386,35.0,10166.67,0.0,4.65,10.0,0.0
387,43.0,12691.45,0.0,4.45,11.0,0.0
388,45.0,9903.78,1.0,5.31,9.0,0.0
389,46.0,10363.63,0.0,5.84,10.0,0.0
390,35.0,8475.8,0.0,3.37,11.0,0.0
391,39.0,13091.92,1.0,4.74,9.0,0.0
392,37.0,13036.52,1.0,3.83,6.0,0.0
393,40.0,9521.35,0.0,5.8,9.0,0.0
394,37.0,5039.46,0.0,4.08,8.0,0.0
395,51.0,13762.79,0.0,7.52,9.0,0.0
396,46.0,8941.92,1.0,5.43,9.0,0.0
397,32.0,12479.72,0.0,4.67,8.0,0.0
398,41.0,9139.73,1.0,5.15,10.0,0.0
399,46.0,10406.58,0.0,7.24,11.0,0.0
400,44.0,11768.65,0.0,5.54,7.0,0.0
401,46.0,14664.0,0.0,6.54,8.0,0.0
402,46.0,8418.81,1.0,7.19,6.0,0.0
403,34.0,6461.86,1.0,4.61,8.0,0.0
404,39.0,14317.2,0.0,5.03,7.0,0.0
405,42.0,4492.44,1.0,6.43,9.0,0.0
406,29.0,13240.01,1.0,4.58,6.0,0.0
407,35.0,7814.68,1.0,5.99,9.0,0.0
408,35.0,11255.38,0.0,6.28,4.0,0.0
409,49.0,13165.68,0.0,5.49,9.0,0.0
410,37.0,12713.9,0.0,9.15,8.0,0.0
411,40.0,11527.08,1.0,5.04,8.0,0.0
412,54.0,8375.73,1.0,4.42,7.0,0.0
413,41.0,11968.78,0.0,5.08,6.0,0.0
414,48.0,7761.2,0.0,7.02,9.0,0.0
415,32.0,6367.22,1.0,2.84,10.0,0.0
416,44.0,7599.36,1.0,6.41,6.0,0.0
417,40.0,7642.2,0.0,5.04,9.0,0.0
418,38.0,11621.67,1.0,6.11,9.0,0.0
419,47.0,9365.92,1.0,4.37,5.0,0.0
420,29.0,12711.15,0.0,5.74,7.0,0.0
421,55.0,8243.28,0.0,3.54,6.0,0.0
422,51.0,10269.97,1.0,4.85,8.0,0.0
423,38.0,13366.66,1.0,5.64,7.0,0.0
424,40.0,12401.58,1.0,5.75,9.0,0.0
425,43.0,8950.33,0.0,6.76,9.0,0.0
426,41.0,10806.13,1.0,4.0,6.0,0.0
427,38.0,7713.12,1.0,5.41,9.0,0.0
428,40.0,12455.75,1.0,6.64,9.0,0.0
429,33.0,7492.9,0.0,6.71,7.0,0.0
430,43.0,12068.39,1.0,3.59,7.0,0.0
431,40.0,7837.67,1.0,5.66,11.0,0.0
432,45.0,9721.59,0.0,3.43,9.0,0.0
433,41.0,10028.23,1.0,5.52,9.0,0.0
434,34.0,10466.56,0.0,5.34,7.0,0.0
435,36.0,12879.7,0.0,4.7,9.0,0.0
436,49.0,13078.28,1.0,4.06,8.0,0.0
437,49.0,11584.59,1.0,4.84,6.0,0.0
438,45.0,9874.69,1.0,2.41,9.0,0.0
439,48.0,11585.16,0.0,4.61,9.0,0.0
440,39.0,10643.67,0.0,5.54,10.0,0.0
441,34.0,12397.49,0.0,4.93,9.0,0.0
442,40.0,10780.71,1.0,5.33,9.0,0.0
443,40.0,8801.13,0.0,7.52,6.0,0.0
444,45.0,7325.93,1.0,6.0,6.0,0.0
445,36.0,7342.14,0.0,5.51,8.0,0.0
446,37.0,12154.25,1.0,5.15,6.0,0.0
447,32.0,9472.72,1.0,1.0,10.0,0.0
448,39.0,3676.68,1.0,3.52,9.0,0.0
449,50.0,6857.29,0.0,4.69,6.0,0.0
450,52.0,10133.36,0.0,4.6,7.0,0.0
451,51.0,4992.6,0.0,3.85,8.0,0.0
452,50.0,12941.12,1.0,5.51,11.0,0.0
453,36.0,11040.16,0.0,4.52,8.0,0.0
454,35.0,8058.73,0.0,6.88,9.0,0.0
455,44.0,10638.65,0.0,5.54,6.0,0.0
456,49.0,10226.43,0.0,6.02,8.0,0.0
457,38.0,12020.62,0.0,4.41,8.0,0.0
458,51.0,12780.22,0.0,6.06,7.0,0.0
459,51.0,6662.59,1.0,5.27,9.0,0.0
460,38.0,10298.29,1.0,5.07,9.0,0.0
461,52.0,9065.28,0.0,3.99,5.0,0.0
462,44.0,8817.22,1.0,6.53,10.0,0.0
463,35.0,11391.46,1.0,7.59,10.0,0.0
464,43.0,12531.39,0.0,3.97,6.0,0.0
465,43.0,9200.69,1.0,2.6,11.0,0.0
466,52.0,13368.21,1.0,4.09,9.0,0.0
467,47.0,15878.11,1.0,2.05,8.0,0.0
468,33.0,7720.61,1.0,4.97,10.0,0.0
469,34.0,9270.9,0.0,6.19,7.0,0.0
470,44.0,8274.32,0.0,5.7,8.0,0.0
471,38.0,9347.47,0.0,8.47,8.0,0.0
472,40.0,12453.72,1.0,4.83,9.0,0.0
473,39.0,8644.07,1.0,4.48,8.0,0.0
474,45.0,11575.84,0.0,5.51,9.0,0.0
475,49.0,8268.74,1.0,5.21,8.0,0.0
476,54.0,12147.83,1.0,4.17,8.0,0.0
477,48.0,8093.03,1.0,4.26,8.0,0.0
478,28.0,9090.43,1.0,5.74,10.0,0.0
479,41.0,9552.57,0.0,3.81,8.0,0.0
480,47.0,9004.44,0.0,3.79,8.0,0.0
481,46.0,14361.38,0.0,4.52,8.0,0.0
482,36.0,8972.54,0.0,5.23,8.0,0.0
483,44.0,11611.28,0.0,5.8,11.0,0.0
484,43.0,9399.92,1.0,4.98,8.0,0.0
485,37.0,7982.38,1.0,4.29,8.0,0.0
486,36.0,6930.95,0.0,5.19,7.0,0.0
487,38.0,11667.01,0.0,3.8,8.0,0.0
488,31.0,5387.75,0.0,6.83,9.0,0.0
489,33.0,10709.39,1.0,5.22,6.0,0.0
490,41.0,11623.42,1.0,4.18,9.0,0.0
491,53.0,9683.85,0.0,5.89,8.0,0.0
492,44.0,8819.13,1.0,4.38,10.0,0.0
493,44.0,7736.13,1.0,4.48,8.0,0.0
494,45.0,7158.66,1.0,6.25,7.0,0.0
495,50.0,9248.87,0.0,4.56,9.0,0.0
496,40.0,11916.26,0.0,4.51,7.0,0.0
497,50.0,9641.61,0.0,3.09,5.0,0.0
498,36.0,12309.23,1.0,4.76,9.0,0.0
499,40.0,11362.95,0.0,4.37,11.0,0.0
500,56.0,10074.4,1.0,5.17,7.0,0.0
501,40.0,10762.29,0.0,5.02,7.0,0.0
502,30.0,8874.83,0.0,5.56,9.0,0.0
503,51.0,5830.99,0.0,6.93,6.0,0.0
504,35.0,8297.87,0.0,5.42,8.0,0.0
505,33.0,5738.82,0.0,7.66,7.0,0.0
506,41.0,11655.82,1.0,7.92,9.0,0.0
507,47.0,7362.18,0.0,6.57,7.0,0.0
508,43.0,10938.11,0.0,3.21,8.0,0.0
509,36.0,8514.8,1.0,4.01,11.0,0.0
510,34.0,8772.26,0.0,5.78,9.0,0.0
511,40.0,7656.02,1.0,5.62,9.0,0.0
512,41.0,10375.39,0.0,5.54,8.0,0.0
513,46.0,7684.02,1.0,6.24,8.0,0.0
514,52.0,6805.48,1.0,6.05,9.0,0.0
515,30.0,6744.87,0.0,5.14,9.0,0.0
